City_ID,City,Country,Max Temp,Weather Desc,Lat,Lng,Hotel Name
0,Hambantota,LK,77.0,heavy intensity rain,6.1241,81.1185,Bungalow 63
3,Botucatu,BR,76.8,clear sky,-22.8858,-48.445,Primar Plaza Hotel
8,Bubaque,GW,78.01,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
9,Elizabeth City,US,73.0,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
25,Bafia,CM,74.98,overcast clouds,4.75,11.2333,Ets MAISON BLANCHE
26,East London,ZA,71.6,broken clouds,-33.0153,27.9116,Tu Casa
28,Sambava,MG,77.29,light rain,-14.2667,50.1667,Melrose
33,Torit,SS,78.84,overcast clouds,4.4133,32.5678,Diplomat Guest House
37,Pisco,PE,71.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
39,Sao Filipe,CV,79.43,scattered clouds,14.8961,-24.4956,Tortuga B&B
41,Rawson,AR,79.66,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
42,Buraydah,SA,78.8,clear sky,26.326,43.975,فندق راحة السلام
47,Huarmey,PE,73.58,scattered clouds,-10.0681,-78.1522,Hotel Miramar
54,Los Llanos De Aridane,ES,73.4,few clouds,28.6585,-17.9182,Valle Aridane
60,Luangwa,ZM,72.39,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
66,San Juan,AR,79.45,clear sky,-31.5375,-68.5364,Hotel Provincial
67,Muros,ES,73.0,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
74,Le Port,RE,78.8,moderate rain,-20.9373,55.2919,KORBEY D'OR OUEST
78,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
79,Chuy,UY,72.66,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
85,Necochea,AR,75.0,clear sky,-38.5473,-58.7368,dyd -mar Hotel
86,Saldanha,ZA,77.0,broken clouds,-33.0117,17.9442,Blue Bay Lodge
88,Victoria,HK,75.0,broken clouds,22.2855,114.1577,Mini Hotel Central
89,Agucadoura,PT,72.0,clear sky,41.4318,-8.7804,Varzinn Hotel
94,Ardakan,IR,77.0,scattered clouds,32.31,54.0175,Ardakan Hotel
98,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
100,Zarate,AR,75.99,clear sky,-34.0981,-59.0286,Departamento céntrico 2 ambientes 45 mt2 en Zárate
106,Concordia,AR,77.0,broken clouds,-31.393,-58.0209,Palmar Hotel Casino
131,Mizque,BO,74.68,scattered clouds,-17.941,-65.3402,Hotel Mizque Boutique
135,Bambous Virieux,MU,79.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
137,San Luis,AR,76.6,clear sky,-33.295,-66.3356,Huarpes Hotel
141,Passo De Camaragibe,BR,77.0,light rain,-9.2368,-35.4901,Chácara vovó candinha
143,Khandbari,NP,70.3,scattered clouds,27.3747,87.2039,Sainik Hotel And Lodge
147,Carnarvon,AU,74.95,clear sky,-24.8667,113.6333,Hospitality Carnarvon
149,Copacabana,CO,71.6,heavy intensity rain,6.3463,-75.5089,Hospedaje Brazil
150,Matay,EG,77.27,broken clouds,28.419,30.7792,Nag Aespen
155,Sao Gabriel Da Cachoeira,BR,78.8,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
170,Tuni,IN,79.41,overcast clouds,17.35,82.55,Sai Krishna Lodge
172,Mar Del Plata,AR,73.4,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
173,Puerto Del Rosario,ES,77.0,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
181,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
186,San Nicolas,PH,79.03,broken clouds,18.1725,120.5953,NORTHVIEW Hotel
199,Quatre Cocos,MU,79.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
