City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Philippe,RE,2021-03-29 18:14:44,-21.3585,55.7679,78.8,78,75,4.61
1,Hithadhoo,MV,2021-03-29 18:14:45,-0.6,73.0833,83.82,74,100,24.85
2,Sao Felix Do Xingu,BR,2021-03-29 18:14:46,-6.6447,-51.995,84.6,68,98,2.01
3,Yarada,IN,2021-03-29 18:14:48,17.65,83.2667,81.23,82,9,11.79
4,Kharp,RU,2021-03-29 18:14:52,66.8014,65.8081,17.2,96,100,2.59
5,Upernavik,GL,2021-03-29 18:14:52,72.7868,-56.1549,0.3,60,96,5.86
6,Victoria,HK,2021-03-29 18:10:41,22.2855,114.1577,78.01,87,44,1.01
7,Beeskow,DE,2021-03-29 18:14:53,52.1667,14.25,59.0,47,97,1.99
8,Mbekenyera,TZ,2021-03-29 18:14:53,-10.0,38.9833,70.83,97,99,3.38
9,Abnub,EG,2021-03-29 18:14:53,27.2696,31.1511,66.2,45,0,16.11
10,Mehamn,NO,2021-03-29 18:14:54,71.0357,27.8492,37.4,80,75,5.75
11,Jamestown,US,2021-03-29 18:10:56,42.097,-79.2353,39.0,64,90,11.21
12,Grand-Santi,GF,2021-03-29 18:14:55,4.25,-54.3833,84.18,67,88,5.77
13,Coquimbo,CL,2021-03-29 18:12:59,-29.9533,-71.3436,64.4,68,20,9.22
14,Santa Cruz Cabralia,BR,2021-03-29 18:14:55,-16.2781,-39.0247,84.2,61,0,17.27
15,Ushuaia,AR,2021-03-29 18:14:55,-54.8,-68.3,51.8,62,75,3.44
16,Ambilobe,MG,2021-03-29 18:14:57,-13.2,49.05,75.61,93,50,2.21
17,Ashqelon,IL,2021-03-29 18:14:57,31.6693,34.5715,59.0,63,0,4.61
18,Bambous Virieux,MU,2021-03-29 18:14:58,-20.3428,57.7575,78.01,94,20,6.91
19,Villavieja,ES,2021-03-29 18:14:58,39.85,-0.1833,60.01,64,38,1.99
20,Cape Town,ZA,2021-03-29 18:14:58,-33.9258,18.4232,70.0,63,0,4.61
21,Kalmunai,LK,2021-03-29 18:14:59,7.4167,81.8167,77.47,84,67,7.23
22,Bathsheba,BB,2021-03-29 18:15:00,13.2167,-59.5167,84.2,58,40,21.85
23,Lebu,CL,2021-03-29 18:15:00,-37.6167,-73.65,63.88,67,1,7.09
24,Almansa,ES,2021-03-29 18:15:00,38.8692,-1.0971,55.99,69,76,1.01
25,Xuddur,SO,2021-03-29 18:15:01,4.1213,43.8894,86.77,25,78,9.91
26,Iqaluit,CA,2021-03-29 18:15:01,63.7506,-68.5145,8.6,66,75,19.57
